"xinzision","Inzisionen (Spaltung: http://bit.ly/1BBcGn1) bei Abszessen sind obsolet. Besser ist es, das Abszess komplett inklusive 1-2 cm Sicherheitsabstand ins gesunde Gewebe herauszuschneiden oder wenigstens abzudeckeln. Dabei wird der sich nach aussen wölbende Teil des Abszesses (Deckel) komplett weggeschnitten. So bleibt die Wunde offen, Sekrete können abfließen und die Wunde heilt von Innen nach Aussen. Inzisionen haben leider eine 100%ige Rezivirate (Rückfallrate).","Inzision Obsolet"
"xawmf","http://bit.ly/awmf-ai","Link AWMF-Leitninien"
"xbetafehler","Der sogenannte Eiweißfehler oder auch Chopin-Lagauche-Fehler tritt bei der chemischen Desinfektion auf, wenn Materialien mit eiweißhaltigen Stoffen (wie z. B. Blut, Eiter, Sekreten) verschmutzt sind. 

Als ""Eiweißfehler"" wird die Reaktion der Desinfektionsinhaltsstoffe mit, wie soll es anders sein, eiweißhaltigen Verschmutzungen bezeichnet. Zum Beispiel die Inaktivierung von kationischen Tensiden (Quads, Guanide), Alkohole, Aldehyde und Halogene durch Belastung mit Eiweißen, wie Blut oder Wundsekret, dem das Desinfektionsmittel bei der Anwendung immer ausgesetzt ist.

Die Wirkung des Desinfektionsmittels wird so aufgehoben. Gerade bei der Anwendung von Salben (Betaisodona Salbe) besteht die Gefahr, dass die nun nicht mehr desinfizierenden Rücksände, als idealer Nährboden für Keime dienen können.","Eiweißfehler Beta Iosdonna"
"xhurley","Einteilung des Schweregrads nach Hurley: Dies ist historisch die erste Einteilung. Sie ist aktuell immer noch in Gebrauch (z.B. bei Psoriasis, Akne inversa, Akne). Hurley unterteilt Patienten in drei unterschiedliche Stadien. Diese Aufteilung wurde in der Vergangenheit auch zu klinischen Studien genutzt und sie ist immer noch hilfreich bei der Behandlung der Erkrankung.

[ I ]   Einzelne oder mehrere, abgegrenzte Abszesse. Keine Fisteln.
[ II ]  Ein oder mehrere weit auseinander liegende Abszesse mit Fistelgängen und Narbenbildung
[ III ] Flächiger Befall mit Abszessen, Fistelgängen und Narbenzügen

— Wikipedia: http://bit.ly/1fcUaXZ
— Doccheck: http://bit.ly/aihurley

","Einteilung nach Hurley"
"xhumira","Link zur Studie (Englisch): http://bit.ly/1D0RzZ5
In dieser Biologika-Studie (Immunsuppressivum) aus dem Jahre 2013, wurden 19 Patienten mit Hurley II - III aus 7 spanischen Kliniken erfasst. Es wurden die Patientenakten ausgewertet. Die durchschnittliche Behandlungsdauer pro Behandlung lag bei 12 Monaten und bewegte sich im einzelnen zwischen 4 bis 32 Monaten.

In 9 Fällen wurde Humira(R) von den Patienten als erste Biologikabehandlung beschrieben. In 7 Fällen handelte es sich um Infliximab. Ustekinumab in 2 Fällen und Etanercept in 1 Fall.

Eine komplette Remission (ausbleiben der Symptome, jedoch keine Genesung) wurde bei 3 Patienten beobachtet von welchen 2 Fälle mit Infliximab und einer mit Ustekinumab behandelt wurde. Eine teilweise Verbesserung wurde bei 10 Patienten beobachtet und bei 6 Patienten trat keine klinische Verbesserung ein. Bei einem Patienten haben die Symptome sich verschlimmert.

Bei 6 Patienten wurde eine zweite Behandlung mit einem zweiten Biologika (Humira(R)) beschrieben. Die Behandlungen wurden zwischen 5 bis 41 (im Schnitt 14) Monaten durchgeführt. In 3 dieser Fälle wurde eine teilweise Verbesserung festgestellt, wohingegen in 3 Fällen keine klinisch Verbesserung festgestellt wurde.

In 2 Fällen wurde eine dritte Behandlung mit einem weiteren Biologika (1 mal Humira(R) und 1 mal Infliximab) durchgeführt, mit einer teilweise Verbesserung in einem Fall.

Im Falle dieser Studie kann man erkennen dass nur 15% eine komplette Remission erfuhren, wohingegen 50% zumindest eine Verbesserung feststellten. In einem Fall jedoch schien man auch mit drei Behandlungen mit unterschiedlichsten Biologika keinerlei Verbesserung zu erreichen. Verbesserung erreichte man Allerdings auch häufig nur durch Umstellung auf eine weiteres Biologika.

Allerdings muss man auch die relativ geringe Teilnehmerzahl berücksichtigen und vor allem auch die einzelnen Faktoren welche in dieser Studie heran gezogen wurden. Dort ging es auch um Schmerzfaktoren und ähnliches. Es würde aber zu Weit führen, dies alles hier ausführlich zu beschreiben. In der Studie sind auch mannigfaltige Interessenkonflikte der Verfasser aufgeführt.
","Studie Humira"
"xwundfixierung","Wundfixierungen ohne Kleber. 
- Mölnlycke / Mepitel: http://bit.ly/1ckvXwP
- Smith & Nephew / Cutefix Strech: http://bit.ly/1ckw5fP","Wundfixierung"
"xnanosilber","http://www.bmgf.gv.at/cms/home/attachments/9/7/2/CH1180/CMS1288805248274/bmg_nanosilber_fassung_veroeffentlichung_final__mit_deckblaetter1.pdf","Link BMG PDF Nanosilber"
"xachsel","Hier mal ein Dokument, dass auch für normale Wunden gilt. Wir haben es nur für die Achselsanierung geschrieben, weil es da noch ein paar Besonderheiten gibt. Der Teil mit der Wundbehandlung ist aber gleich: http://bit.ly/1UMrjJy ","Achselsanierung"
"xexzision","http://bit.ly/exzision","Doccheck Exzision"
"xkeratin","http://bit.ly/dckeratin","Link Doccheck Keratin"
