"xnfs","%clipboard bitte nicht freischalten, ich habe eine Nachricht gesendet.","Nicht Freischalten"
"xvertraulichkeit","Wenn du aus Gründen der Vertraulichkeit ein neues Profil angelegt hast, kann ich dir sagen, dass dies nicht notwendig ist. Denn, unsere Gruppe ist geschlossen. Selbst deine Freunde (Freundesliste) können nicht sehen, dass du Mitglied bist oder was du postest.","Vertraulichkeit"
"xr4","4.) Rechtlich geschützte Inhalte (Bilder, Texte, etc.) werden sofort gelöscht, insofern kein nachweisbares Nutzungsrecht besteht. Links auf Inhalte sind immer erlaubt, insofern sie nicht gegen die Regeln verstoßen.","Regel 4"
"xr1","1.) Keine Shitstorms, kein Flaming und kein negatives Gerede über andere Gruppen oder Personen innerhalb oder ausserhalb der Gruppe.","Regel 1"
"xxp","<p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">Liebe/r %clipboard,</span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal; min-height: 15px;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><br></span></span></span></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">Wir freuen uns sehr, dass du unserer Akne inversa Gruppe: <a href=""https://www.facebook.com/groups/MedCanAi"">https://www.facebook.com/groups/MedCanAi</a> beitreten möchtest. Zunächst vielen Dank für dein Interesse.</span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal; min-height: 15px;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><br></span></span></span></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">Wir prüfen vor der Freischaltung jedes Profil relativ ausführlich. Folgende mögliche Punkte lassen uns annehmen, dass du aufgrund deines Profils eher ungeeignet für unsere Gruppe zu sein scheinst:</span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal; min-height: 15px;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><br></span></span></span></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">Dein Profil %fillpopup:name=Grund:wurde erst vor ein paar Tagen angelegt (Fakeprofilverdacht). Wir haben schon oft die Erfahrung gemacht, dass es sich bei erst kürzlich angelegten Profilen um Zweit- oder Fakeprofile handelt. Unabhängig von deren Intension, aus welcher diese erstellt wurden, hatten wir genau damit schon oft Probleme und sind hier entsprechend vorsichtig.:erweckt minderjährigen Eindruck. Bei Minderjährigen Facebooknutzern handelt es sich oft um Jugendliche, welche derzeit unter Pubertätsakne leiden und bei der Suche nach ""Akne"" auf unsere Gruppe stoßen. Bei uns geht es aber nicht um Akne, sondern um Acne inversa / Hidradenitis suppurativa. Diese Erkrankung hat nichts mit der ""gewöhnlichen"" Akne zu tun. mehr Infos gibt es auf http//akne-inversa.org:erweckt kommerziellen Eindruck, z.B. in Bezug auf Body Challenge, Juice Plus, MLM oder andere Produkte. Häufig melden sich Inhaber kommerziell erscheinender Profile nur zur Kundenarquise in Selbsthilfegruppen an. In unserem Falle vermehrt für Akneprodukte, Bücher, Therapien und MLM-Produkte. Dies möchten wir unterbinden, da wir bereits wissen, welche Mittel helfen uns welche nicht.:erweckt allgemeinen Fakeprofil Eindruck. :default=ist komplett anonymisiert. Natürlich können wir die Intention dahinter verstehen. Komplett anonymisierte Profile sind für uns jedoch nicht überprüfbar. Was uns aber sehr wichtig ist. Dies würde letztlich auch deinem Interesse dienen. Wir möchten gerne wissen, mit wem wir es zu tun haben. Ob irgendwelche kommerziellen Interesse bestehen könnten und solche Dinge. Gerne kannst du mich zu deiner Freundeslist hinzufügen, sodass ich mir dein Profil ansehen kann. Danach entfreunde ich die sofort wieder.%</span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal; min-height: 15px;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><br></span></span></span></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">Wir können uns natürlich irren. Solltest du uns also den o.g. Verdacht plausibel erklären können, bin ich gerne bereit dich zur Gruppe frei zuschalten.</span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal; min-height: 15px;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><br></span></span></span></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">Vielen lieben Dank für dein Verständnis,</span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal; min-height: 15px;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><br></span></span></span></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px""><b>Michael V Großklos </b></span></span></span><br></p><p style=""font-style: normal; font-variant-caps: normal; font-weight: normal; line-height: normal;""><span class=""colour"" style=""color:rgb(0, 0, 0)""><span class=""font"" style=""font-family:'.AppleSystemUIFont'""><span class=""size"" style=""font-size:12px"">(Gruppenadmin)</span></span></span></p>","Nachricht Profilprüfung"
"xr5","5.) Bilder/Videos mit grafischem Inhalt dürfen nicht direkt gepostet werden. 
So werden Bilder gepostet:
- 1. Einen Post erstellen mit beliebigem Text
- 2. Diesen Beitrag mit ""ACHTUNG WUNDBILD"" kommentieren.
- 3. Auf DIESEN Kommentar ANTWORTEN und dort das Bild posten.
- 4. Dann noch einen weiteren Kommentar mit einem Punkt
Hier ein Erklärvideo: http://bit.ly/2aaJBHp","Regel 5"
"xhw","+++ BITTE KOMPLETT LESEN! +++

HERZLICH WILLKOMMEN IN UNSERER RUNDE! 
Wir freuen uns, dass du den Weg zu uns gefunden hast. Zu Anfang, möchte ich dir ein paar Informationen ans Herz legen, die dir sicherlich weiterhelfen können:

Neuheiten bei Acne inversa: http://bit.ly/aineuheiten
Unser Patiententagebuch: http://bit.ly/patiententagebuch
DLQI Fragebogen: http://bit.ly/dlqi
Erste Hilfe bei Ai: http://bit.ly/ai-erstehilfe
AWMF Leitlinien: http://bit.ly/1plqB3E
EU Leitlinien (engl.): http://bit.ly/euleitlinie
Unsere Newsletter: http://bit.ly/ainewsletter

Webseiten mit wichtigen Informationen:
- http://akne-inversa.org
- http://acne-inversa-charite.de
- http://acneinversa.de
- http://acneinversa.ch

Anmeldung zu unserem KOSTENLOSEN Newsletter:
- http://akne-inversa.org/newsletter-eintragung

Selbsthilfegruppen finden und/oder gründen:
- http://akne-inversa.org/selbsthilfegruppen

Filme / Dokus
- Leben mit Ai: http://bit.ly/lebenmitacneinversa
- Bericht ORF2: http://bit.ly/orf2ai
- Videotheke akne-inversa.org: http://bit.ly/1MIrYpS
- Videotheke acneinversa.de: http://bit.ly/1MIrQ9T
- Videotheke acneinversa.ch: http://bit.ly/1iSf9Bj
- Verbandwechsel: http://bit.ly/korrekterverband
- Wunddehnung: http://bit.ly/wunddehnung


!!! - WICHTIG !!! - Das SOS der Acne inversa = SED - R.I.P. -
S = Stress reduzieren, abstellen !
E = Entzündungshemmende Ernährung analog Rheuma ! Nikotin Verzicht!
D = Desinfektion/Waschung täglich z.B. mit Octenisan !
R = keine Rasur - nur Trimmen oder Enthaarungscreme verwenden
I = Immunsystem stärken !
P = Physische & Psychische Stärkung/Kräftigung !Keine beengte Kleidung > Druckstellen vermeiden > überw. Baumwolle tragen


UNSERE GRUPPENREGELN!
An diese hat sich jedes Mitglied ausnahmslos zu halten. Diese Regeln sind nicht verhandelbar.

%snippet:xregeln%


%key:enter%","Willkommen Ai Gruppe"
"xr3","3.) Wenn jemand die Gruppe verlässt oder aus welchen Gründen auch immer aus der Gruppe gelöscht wird, hat er/sie (im Einklang mit den Facebookregeln) keinen Anspruch auf Löschung seiner eingestellten Inhalte. Überlege dir also vorher was du bereit bist zu posten.","Regel 3"
"xr2","2.) Respektvoller Umgang miteinander. Despektierlicher Umgang wird sofort unterbunden. Wenn etwas nicht verstanden wird, kann man in einem gesitteten Ton nachfragen. So lässt sich meist alles klären. Verhalte dich anderen gegenüber stets so, wie du erwartest behandelt zu werden.","Regel 2"
"xr6","6.) Werbeverbot! Keine Werbung über Affilliate-Links oder Produkte mit welchen du direkt oder indirekt in Verbindung stehst und zu welchen ein Zusammenhang zu Akne inversa aufgezeigt wird. Insbesondere gilt dies für irgendwelche “Wundermittelchen” und MLM-Produkte zu welchen es keine nachweisbaren Evidenzen der Wirksamkeit gibt und/oder welche Heilung versprechen. 

6.1.) Das Anschreiben der Mitglieder via PN zu Werbezwecken ist strengstens untersagt. Solltest du “Opfer” einer solchen Werbeaktion werden, wende dich bitte SOFORT an einen Mod oder Admin. 

6.2.) Links zu Produkten z.B. von Onlineapotheken und Informationsseiten sind erlaubt insofern diese nicht gegen Regel 6 verstoßen. Im Zweifel vorher einfach einen Mod oder Admin fragen.","Regel 6"
"xrv","Nicht ärgern, aber dein Post wurde gelöscht weil du gegen folgende Regel verstoßen hast:

%filltext:name=Regel:width=1000%

Hiermit möchte ich dich noch einmal an die Regeln erinnern und bitten, dich daran zu halten. Ich bin mir sicher, dass dir die Regel einfach nicht mehr geläufig und der Verstoß vollkommen unbeabsichtigt waren. Das kann passieren. 

Ferner bitte ich dich, jegliche Diskussion mit mir oder einem anderen Admin über den Regelverstoß oder die Regeln an sich zu unterlassen. Nimm es bitte einfach so zur Kenntnis und vermeide weitere Verstöße. Ich danke dir für dein Verständnis!

Bei Fragen stehen dir alle Admins gerne zur Verfügung!

Hier noch einmal alle Regeln zur Erinnerung:

%snippet:xregeln%","regelverstoß"
