"xflirt","Hallo liebe %filltext:name=Name:width=25%,

gerade betrachte ich dein Profil, weil ich dich %fillpopup:name=Singlebörsen: bei “Singles im Saarland”: in der “curvy Single Portal”- Gruppe : in einer “Facebook Single Gruppe"":einfach per Zufall auf Facebook:,bzw. dein Profil hier auf LaBlue% gesehen habe und das Erste das mir auffiel, war %fillpopup:name=Profilbild:dein entzückendes Lächeln:dein hübsches Gesicht:,dass du leider kein Profilbild hast%. %fillpopup:name=Dennoch/Dann:default=Dann:Dennoch% schaut man(n) natürlich mal etwas tiefer ins Profil. Dabei habe ich dann festgestellt, %fillpopup:name=popup 1:dass wir wohl ein paar Gemeinsamkeiten haben. Was ja erstmal nicht die schlechtesten Voraussetzungen sind, wie ich finde.:dass du keinen Profiltext hast. Das finde ich sehr schade, denn ich würde gerne mehr über dich erfahren.:dass du nicht sehr viel über dich schreibst. was ich sehr schade finde, denn ich würde gerne mehr wissen%

%fillarea:name=Ergänzung%

Eventuell magst du mir ja noch ein wenig mehr von dir erzählen? %fillpart:name=Mehr erzählen:default=yes%Deinen reellen Name fände ich einen sher guten Anfang ;)%fillpartend%

Mal ein wenig zu mir:
Das Meiste kannst du ja schon in meinem Profil sehen. Dennoch ein paar Worte.

%fillpart:name=Liebe:default=yes%Ich fühle mich wieder einsam, jedoch noch nicht verzweifelt. Single bin ich schon fast 5 Jahre. Ich musste aber erst die letzte Beziehung überwinden. Ich bin nicht so der Schnellschußtyp. Ich muss erst eines abschließen bevor ich etwas anderes beginne. Mir fehlt im Moment das Gefühl jemanden zu lieben. Die Wärme die mir das Gefühl des geliebtwerdens gibt und einfach auch die Zweisamkeit.%fillpartend%

%fillpart:name=Ehrlich sein:default=yes%Um ehrlich zu sein, denke ich nicht einmal, dass ich Online eine passende Partnerin finde. Ich habe das schon ettliche Male, auf verschiedenen Plattformen versucht, bin aber bisher nicht fündig geworden und musst schon viel Ablehnung erfahren. Was ich niemandem zum Vorwurf mache. Es ist lediglich eine Tatsache. ABER, man soll die Hoffnung ja nie aufgeben, richtig?%fillpartend%

Ich bin recht unternehmungslustig, aber auch mal faul. Ich liebe gute Filme und Musik. Wobei hier ja die Geschmäcker oft auseinander gehen. Ich bin aber auch hier recht Breitbandig aufgestellt. Ich liebe es zu kochen und denke auch, dass ich das ganz gut kann. 

Was besonders wichtig ist zu wissen, dass ich kein sportlicher, schlanker Überflieger bin. Wobei gegen Diese nun auch nix zu sagen ist. Aber ich bin dann wohl eher das Gegenteil. Ich wiege bei 177 cm Körpergröße 130 kg. Das ist eine Tatsache, die zwar tendenziell abfallend ist, sich jedoch nicht von heute auf morgen ändern lässt. Meine Partnerin (du?) muss damit natürlich klar kommen. Man kann da auch nicht mehr von einen Waschbärbauch reden. Da ist schon etwas mehr dran an mir ;)

Apropos Partnerin... Was habe ich denn da so für Vorstellungen? Nun, eigentlich keine übertriebenen. 

Charakterlich sollte meine Partnerin im Leben stehen. Ich mag Frauen, die auch mal anpacken können und ein IKEA-Regal selbst aufstellen oder mal einen Nagel alleine in die Wand schlagen können. Eben eine selsbtständig denkende und lebende Frau, die auch ihre eigene Meinung hat. Nicht weil ich nicht bereit wäre eine zarten Geschöpf zu helfen. Ich habe im Laufe der Zeit allerdings herausgefunden, dass Frauen die selsbt anpacken können einen besodneren Charackter haben, der irgendwie zu mir passt. Die Standardfloskeln wie: Treue, Ehrlichkeit etc. erspare ich mir und dir an dieser Stelle, da sie selbstverstänlich sein sollten. 

Ich suche kein Model. Ich stehe eher auf  den Rubenstyp. Dürr sollte sie jedenfalls nicht sein. Ich mag keine Modepüppchen die sich zum Müll rausbringen schon aufbrezeln müssen und mehr Zeit im Bad als mit mir verbringen. Handy-, Game- oder sonstwie Süchtige mag ich auch nicht. Ich kann es nicht ab, wenn ich mich mit jemandem unterhalte und der/die alle 2 Sekunden zwanghaft aufs Handy starren muss. Haar-, Augen- oder Zehennagelfarbe, sowie Schuhgröße sind mir herrlich egal. Ich mag tätowierte frauen. Frauen ohne Tattoos mag ich haber ebenso, da ich selsbt nicht tätowiert bin ;)

Bei einem Kennenlernen bin ich auch nicht wirklich an langen PN-Sessions oder Chats interessiert. Ich mag es eher, sich so schnell wie möglich vis-a-vis kennen zu lernen. Denn in einem persönlichen Gespräch mit Augenkontakt, erfährt man mehr als in 100 Sunden digitalem chatten. MAn kann sich ja ganz zwanglos in einem Café oder so treffen. In einem Film (Good Will Hunting) habe ich den schönen Satz gehört:""Klar, vielleicht treffen wir uns mal und lutschen ein paar Bonbons zusammen"". Wir hätten also Alternativen wenn du keinen Kaffee magst ;) Den ich im Übrigen liebe ;)

%fillpart:name=Tiere:default=no%Wie ich sehe, hast du Haustiere. Ich bin sehr Tierlieb. Hatte lange Zeit selbst 2 Hunde, 2 Katzen, 2 Hasen und Fische. Die Gründe warum das nicht mehr so ist, kann ich dir gerne mal mitteilen. Würde hier aber zu weit führen.%fillpartend%

So ich denke nun ein wenig von mir berichtet zu haben und hoffe in Zukunft von dir zu lesen.

Viele liebe Grüße,
Michael","FB Spontan"
"xftext","Vielleicht bist ja du die Richtige? Dazu braucht es nicht viel. Einen guten, vielleicht etwas schwarzen Humor. Keine Angst oder Abneigung vor Männern mit einem Gewicht von 140 kg, bei einer Körpergröße von 177 cm. Etwas Spontanität und Lebensfreude. Ein Zuhause, ohne Ex aber gerne mit Tieren. Eine Tolerante, hilfbereite Einstellung. Eine eigene Meinung die du auch in Disskussionen vertreten kannst. Menschen so zu akzeptieren wie sie sind, ohne sie ändern zu wollen, aber kompromissbereit in Bereich in welchen es Sinn macht. Keine Reichtümer erwartet und einfach einfach und ganz normal ist. Und noch eine Kleinigkeit wäre ganz klasse. Ein wenig Zeit.

Im Gegenzug könntest du einen humorvollen, chaotischen, atheistischen Realisten kennen lernen, der seit 5 Jahren Single aber nicht notgeil ist. Der mit beiden Beinen im Leben steht, einen festen Job und ein Auto hat. Der in seinen 42 Lebensjahren zwar schon viel erlebt aber nie aufgegeben hat. Einen der Filme und Musik sowie das Kochen mag. Der die Wochenenden gerne mit dir geniesen und diese zu einem Erlebnis machen möchte. Einer der treu, ehrlich und einfach gestrickt ist und zu einem Date lieber in Jeans, T-Shirt (je nach Wetterlage) und Sneaker, als im Smoking erscheint. Der lieber bei McDonalds ne Cola trinkt, als in ein fancy zig Sterne Restaurant zu gehen. Der einen Tag in der Sauna, als Urlaub empfindet und gemeinsame verbrachte Zeit jeder Party vorzieht. Der Gedichte schreibt, nur für dich.

Wenn du jetzt die Frau bist, die genau diesen einen richtigen Klick gemacht hat. Dann schreib mir doch ne Nachricht. Eventuell trinken wir dann bald schon an der Autobahnrastätte, Nachts um 3 Uhr nen Kaffee zusammen oder lutschen Bon Bons. Du darfst entscheiden.","Flirttext Allgemein"
"xszflirt","Hallo %filltext:name=Name%,

gerade habe ich einfach mal die Suchfunktion bedient und mich in meinem PLZ-Bereich umgesehen und siehe da, dein Profil taucht auf.

Relativ kurze Rede, langer Sinn. Ich wäre sehr an einem Kennenlernen interessiert, denn dein Profil sagt mir (nicht nur wegen der Bilder) sehr zu. Ich denke sehr niveauvoll und auch sensibel zu sein. Beim spielen bin ich kein Schreihals, sondern eher ruhig von zart bis hart.

Kurz was zu mir:
Ich bin seit ca. 12 Jahren aktiver BDSMer, Switcher aber stark dominant sowie sadistisch veranlagt. Switchen tue ich nur unter bestimmten Voraussetzungen und relativ selten und ausserdem ist es für mich kein Muss. Ich liebe Shibari Bondage. Das ""Herstellen"" meiner eigenen Seile ist mir wichtig und gehört für mich zum Ritual dazu. Ich liebe Erziehung und DS Spiele, sowie Atemkontrolle durch Würgen mit der Hand. ebenso mag ich Pussy Torture in verschiedenen Facetten. Bestrafungen -sofern notwendig- sind bei mir nicht nur physischer Natur. BDSM findet bei mir auch auf einer kommunikativen Ebene statt. Wichtig ist mir vor allem, dass ich mich an die Grenzen meiner Partnerin herantasten kann. Ich bin also Niemand der gerne von 0 auf 100 geht. Ich bin zudem nicht auf die oben genannten Dinge beschränkt, sondern sehe BDSM auch als ständig erweiterbares Experiment an, welches beide (oder ggf. mehrere) Beteiligte gemeinsam erforschen und fühlen. Kopfkino ist dabei eines der wichtigsten ""Sinne"" wie ich finde. Das kann teilweise soweit gehen, dass kein physischer Sex erfolgt. Ich will und kann auch kein 24/7 leben. Allerdings liebe ich auch eine Art Fernkontrolle, die sich in gewisse Lebensbereiche mit einbezieht. Insofern es für meine Spielpartnerin möglich ist dies auszuüben -was ja nicht immer der Fall ist.

Outside BDSM...
bin ich eigentlich ein stink normaler Typ der auf Gothik, Dark Elektro und Metal steht aber nicht zwangläufig permanent in Szenenklamotten rumläuft. Ich liebe es Burgen und Schlösser zu besichtigen und zu Dichten. Ich liebe es ebenso in die Sauna zu gehen und mich richtig durchgaren zu lassen. Für mich ist das wie ein kleiner Urlaub. Darum versuche ich das auch häufig zu machen. Ich diskutiere gerne. Nein, das heißt nicht Streiten. diskutieren über allerlei Themen... Gott und die Welt. Wobei Gott eher sprichwörtlich gemeint ist, denn religiös bin ich nicht. 

So ein Bisschen was behalte ich auch noch für mich. Man soll ja nicht gleich alles erzählen.

Sollte dir mein Profil auch zusagen, würde ich mich freuen von dir zu lesen. Da ich nicht all zu oft hier auf SZ bin, vielleict via Mail: sexconvert@gmail.com

Liebe Grüße,
Michael","SZ Flirt"
"xmatcher","Hallo %filltext:name=Name%,

%fillpopup:name=Matcher/Kontakt:der Matcher hat dich mir vorgeschlagen und ich werde ""passt"" klicken:die Kontaktsuche hat dich mir vorgeschlagen und ich schreibe dir nun%, denn ich denke es könnte zwischen uns passen. 

%fillpart:name=Devotion:default=yes%In meinen Augen ist Devotion etwas, das man sich verdienen muss. Es sit ein Geschenk, das man nicht einfach so erhält. Im Grunde ist es doch so, dass der Dom eignetlich der unterwürfige Teil ist. Ist er doch derjenige, der nur das machen darf, das ihm seine Partnerin erlaubt, richtig? Wenn bestimmte Dinge nicht mag, werden sie nicht gemacht, auch wenn der Dom es noch so gerne hätte.%fillpartend%

%fillpart:name=PLZ:default=yes%Ungeachtet der Tatsache, dass du keine %fillpart:name=vollständig:default=yes%vollständige%fillpartend% PLZ angegeben hast (oder ich habe sie übersehen ;) ) und ich somit nicht weiß wo du wohnst, versuche ich es dennoch.%fillpartend%

%fillarea:name=Ergänzungstext%

Ich bin seit ca. 12 Jahren aktiver BDSMer, Switcher aber stark dominant sowie sadistisch veranlagt. Ich switche aber nur unter bestimmten Voraussetzungen und relativ selten. 

Ich liebe Hentai Bondage. Das ""Herstellen"" meiner eigenen Seile ist mir wichtig und gehört für mich zum Ritual dazu. 

Ich liebe Erziehung und DS Spiele, sowie Atemkontrolle durch Würgen mit der Hand. ebenso mag ich Pussy Torture in verschiedenen Facetten. 

Bestrafungen -sofern notwendig- sind bei mir nicht nur physischer Natur. BDSM findet bei mir auch auf einer kommunikativen Ebene statt. 

Wichtig ist mir vor allem, dass ich mich an die Grenzen meiner Partnerin herantasten kann. Ich bin also Niemand der gerne von 0 auf 100 geht. Ich bin zudem nicht auf die oben genannten Dinge beschränkt, sondern sehe BDSM auch als ständig erweiterbares Experiment an, welches beide (oder ggf. mehrere) Beteiligte gemeinsam erforschen und fühlen. 

Kopfkino ist dabei eines der wichtigsten ""Sinne"" wie ich finde. Das kann teilweise soweit gehen, dass kein physischer Sex erfolgt. Ich will und kann auch kein 24/7 leben. Allerdings liebe ich auch eine Art Fernkontrolle, die sich in gewisse Lebensbereiche mit einbezieht. Insofern es für meine Spielpartnerin möglich ist dies auszuüben -was ja nicht immer der Fall ist.

%fillpart:name=Outside BDSM:default=yes%Outside BDSM...
bin ich eigentlich ein stink normaler Typ der auf Gothik, Dark Elektro und Metal steht. Ich liebe es Burgen und Schlösser zu besichtigen und zu Dichten. Ich liebe es ebenso in die Sauna zu gehen und mich richtig durchgaren zu lassen. Für mich ist das wie ein kleiner Urlaub. Darum versuche ich das auch häufig zu machen. Ich diskutiere gerne. Nein, das heißt nicht Streiten. diskutieren über allerlei Themen... Gott und die Welt. Wobei Gott eher sprichwörtlich gemeint ist, denn religiös bin ich nicht. %fillpartend%

Vielleicht wirfst du auch mal einen Blick in mein Profil und meldest dich dann.

Viele Grüße,
Michael","SZ-Matcher"
"xsislike","Hi,
ich bin immer etwas verwirrt, wenn Frauen meinen Beitrag in ""Singles im Saarland” liken und sonst nichts weiter kommentieren. Ich frage mich dann immer:""Tat sie das nun einfach nur weil ihr der Text gefällt oder weil sie Interesse hat mich kennen zu lernen?"" So dachte ich mir gerade, gebe ich die Frage doch einfach an dich weiter, denn du wirst es sicher wissen ;)

Ganz lieben Gruß
","Like Single im Saarland"
"xfabenteuer","Huhu %filltext:name=Name%,

nunja, wenngleich ich nicht nur an einer festen Beziehung interessiert bin und zusätzlich auf der Suche nach ungezwungenen, unverbindlichen abenteuern (zumindest bis ich etwas Festes gefunden habe). Bin ich dennoch in der Lage, mehr als nur ""huhu, du bist sexy"" oder ""Hallo, wie geht's"" zu schreiben.

Nun, auch wenn es bei mir nur um Abenteuer geht, sollte man sich doch auch sympathisch sein, nicht wahr? Darum vielleicht mal ein wenig zu mir und meiner Person. Im Anschluß gehe ich dann auch etwas auf Sexuelle Dinge ein, welche ja auch eine Rolle spielen.

Ich bin recht unternehmungslustig, aber auch mal faul. Ich liebe gute Filme und Musik. Wobei hier ja die Geschmäcker oft auseinander gehen. Ich bin aber hier recht Breitbandig aufgestellt. Ich liebe es zu kochen und denke auch, dass ich das ganz gut kann. 

Was besonders wichtig ist zu wissen, dass ich kein sportlicher, schlanker Überflieger bin. Wobei gegen Diese nun auch nix zu sagen ist. Aber ich bin dann wohl eher das Gegenteil. Ich wiege bei 177 cm Körpergröße 130 kg. Das ist eine Tatsache, die zwar tendenziell abfallend ist, sich jedoch nicht von heute auf morgen ändern lässt. Du müsstest damit natürlich klar kommen. Man kann da auch nicht mehr von einen Waschbärbauch reden. Da ist schon etwas mehr dran an mir

Apropos Partnerin... Was habe ich denn da so für Vorstellungen? Nun, eigentlich keine übertriebenen. Ich suche kein Model aber auch Keine, die in meiner Gewichtsklasse kämpft. Ich stehe eher auf schlanke Frauen bis Rubenstyp. Ich habe nichts gegen Raucher, denn ich hatte selbst sehr lange, sehr viel geraucht. Haar-, Augen- oder Zehennagelfarbe, sowie Schuhgröße sind mir herrlich egal. Ich mag tätowierte Frauen. Frauen ohne Tattoos mag ich aber ebenso

OK, kommen wir zu dem delikaten Thema Sexualität.
Was das angeht bin ich recht breitbandig aufgestellt. Ich mag den so genannten Blümchensex mit viel Zärtlichkeit und Romantik ebenso wie ich BDSM mag. Wobei ich BDSM als Vorspiel sehe und es in meinem Falle eher nicht so viel mit ""50 Shades"" zu tun hat 

Beim ""normalen"" Sex ist mir eines besonders wichtig: meine Partnerin muss Spaß dabei haben und es auch zeigen können. Ich bin eher nicht so der ""Hauptsache ich habe Spaß""-Typ. Ganz im Gegenteil. Mir bereitet es keine Freude, wenn ich auf gut Deutsch gesagt, die Geilheit meiner Partnerin nicht sehen, hören und/oder fühlen kann. Ich mag vor allem Oralverkehr. Passiv, jedoch mehr aktiv. Meine Lieblingsstellung ist ganz klar die Reiterstellung. Denn in dieser Stellung kann meine Partnerin alles selbst steuern, was mir den ultimativen Lustgewinn bringt. Ich habe eine Art Höschen-Fetisch. Das heißt, ich mag es, wenn Frauen beim Vorspiel das Höschen anbehalten. Das muss nicht jedes Mal so sein, aber vielleicht ab und an.

Bezüglich BDSM bin ich eher der ruhige, bestimmende, dominante Typ, der es mag Frauen zu fesseln (vorwiegend mit Hanfseilen), sie zu dominieren und ihnen gerne sagt was sie tun sollen, was bei beiderseitigem Einverständnis, in gewissen Grenzen auch ausserhalb eines Treffen stattfinden kann. Schmerzen müssen nicht sein, aber ich kenne mich auch damit sehr gut aus. Das ist halt immer eine Sache der Partnerin, wie weit sie gehen möchte. Ich liebe Orgasmuskontrolle. Das heißt, ich mag es, bestimmen zu können, ob und wann meine Partnerin kommt. Ebenso mag ich Atemkontrolle. Das ist natürlich eher fortgeschritten und nichts, dass man bei den ersten Treffen macht, denn dazu gehört 100 Prozentiges Vertrauen. Bei mir gilt halt das Motto:""Immer sicher, sauber und mit beiderseitigem Einverständnis”. Zu diesem Thema gibt es natürlich noch viel ehr zu sagen, was aber zum einen diesen Rahmen sprengen würde und zum anderen häufig ja auch Dinge sind, die man besser gemeinsam herausfindet.

OK, ich denke ausreichend meine Vorstellungen und mich vorgestellt zu haben. Sollte dir das was du gelesen hast zusagen, freue ich mich über eine PN von dir. Lass mich wissen ob du Interesse hast mich näher kennen zu lernen. Wenn du noch ein Nacktbild haben willst (verdeckte Genitalien), kann ich dir das gerne zusenden. Ich habe eine eigene Wohnung, aber auch ein Auto. Bin also recht flexibel.

Liebe Grüße,

Michael","Abenteuer"
"xfn","Hallo,
%fillarea:name=Zusatz%
%fillpopup:name=Groß-Klienschriebung:ich:Ich% bin ein ganz normaler Typ auf der Suche nach einer ganz normalen, vielleicht auch mal etwas verrückten Typin. 

Soetwas zu finden, ist hier sehr schwierig. Vor allem, wenn man, wie ich, nicht den Körper eines Schild und Schwert schwingenden Flachlandnordmannes mit Bart und langem güldenen Haar hat -wie es uns diverse Fernsehserien vorleben. Sondern eher so in Richtung Industriemülltonne mit Schiebedeckel geht.

...Anyway...

Ich bin offen, ehrlich und manchmal etwas chaotisch. ansosnten aber recht umgeänglich und pflegeleicht.

Ich würde mich sehr freuen von dir zu lesen.

Liebe Grüße,
Michael
%key:enter%
","Normal"
"xfbansch","


Wenn man -so wie ich- schon eine Zeit lang in Single-Gruppen & Co. unterwegs ist, stellt man bestimmte Muster fest. Eines davon ist, dass 96%% der Single-Gruppen-Posts, geschlechterunspezifisch, sexueller Natur sind.

Dann fragt man sich jedesmal, was ist denn eigentlich der Grund, warum Leute sich in solchen Gruppen, statt einfach auf C-Date oder Tinder oder anderen Casual-Date-Sites anmelden?

Nun, ich gehöre (trotz ca. 5 Jahren Singledaseins) nicht zu den Personen, die es so nötig haben, dass jeder zweite Post irgendwelche sexuellen Anspielungen beinhalten muss. Denn ich suche einfach nur eine Partnerin, die zwar nicht frigide sein sollte, das Thema aber nicht das wichtigste für sie ist. 

Wie dem auch sei. Es gibt da ein, zwei Sachen, die man über mich wissen sollte. Zum einen gehöre ich nicht zu den schlanken Vertretern meines Geschlechts. Mit aktuell 135 kg bei einer Größe von 177 cm zähle ich mich definitiv zu den Schwergewichten. Das sollte dich natürlich nicht abschrecken.

Des Weiteren bin ich mit meinen 42 Jahren nicht unbedingt das, was man einen Partylöwen nennen könnte. Im Grunde war ich das nie. Klar hab ich nix gegen eine Feier oder Dergleichen, aber ich muss nu nicht jedes Wochenende auf die Piste. Zumindest nicht in Sachen Party.

Ich koche leidenschaftlich gerne. Allerdings -aus gesundheitlichen Gründen- rein Pflanzlich. Ich bin nun kein militanter, missionierender Veganer. Allerdings solltest du auch mit meiner Ernährungsentscheidung klar kommen. Mich stört eine mischköstlich lebende  Partnerin überhaupt nicht und ich bin mir auch nicht zu schade, ne Wurst zu braten. 

Am Wochenende bin ich häufig unterwegs. Das ist der Fall, weil ich ein paar Hobbies betreibe, welchen man im Grunde nur draußen nachgehen kann. Dazu gehören unter anderem Urbex, Geocaching und Fotografie. Optimal wäre natürlich eine Partnerin, die ähnlich gelagerte Hobbies hat. Einem Netflix-Binchwatching-Wochenende, bin ich allerdings auch nicht abgeneigt. Denn ich bin auch ein recht großer Film- und Serienfan.

Ansonsten gibt es noch zu sagen, dass ich einen festen Job habe, welcher mir Spaß macht, allerdings zu ungewöhnlichen Zeiten stattfindet. Denn ich arbeite ausschließlich Nachmittags bis Abends (kann auch mal 23:00 Uhr werden). Entweder bist du also eine Spätinsbettgeherin, arbeitest auch am Nachmittag oder hast keine Probleme mit einer -überwiegenden- Wochenendbeziehung.

So, ich denke, das reicht für den Anfang. Solltest du Fragen oder gar Interesse haben, freue ich mich über eine PN. Denn ich habe auch festgestellt, dass es eine weitere Eigenschaft in diesen Gruppen gibt. Leute neigen dazu, Posts einfach nur zu liken, in der Hoffnung, man meldet sich dann. Nun, das tue ich nicht. Wenn du also Kontakt willst, dann bitte auch aktiv via PN. 

So long...
","FB Anschreiben"
"xmpa","Hi %filltext:name=Name:width=20%, 

schau doch mal in mein Profil. Vielleicht kannst du dich darin wiederfinden. Dann würde ich mich freuen von dir zu lesen. Ich könnte hier nun zwar alle schreiben. Denke aber, dass ich in meinem Profil alles gesagt habe, was du wissen musst für den Anfang. Allerdigns wird auch noch eine Menge an Infos fehlen, auf die du eventuell neugierig bist. Dann kannst du mich ja gerne alles fragen. Ich bin ein sehr offener und ehrlicher Mensch. 

Alles Liebe,
Michael

","Mein Profil ansehen"
"xsim2l","https://www.facebook.com/groups/291785147853730/permalink/790155991349974/","Link. SIM 2.0 Vorstellung"
